"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.639494667E0,1.112187195E-1,4.675078125E0,8.667875061E0,9.848897560E0
2.649493667E0,1.113684082E-1,4.692442017E0,8.668922882E0,9.858074809E0
2.659491667E0,9.864486694E-2,4.687801666E0,8.664132843E0,9.851518319E0
2.669489667E0,9.370513916E-2,4.693190460E0,8.668922882E0,9.858247374E0
2.679487667E0,1.019380188E-1,4.678670654E0,8.677305450E0,9.858802175E0
2.689485667E0,1.049317932E-1,4.683760071E0,8.666677551E0,9.851899251E0
2.699483667E0,9.415420532E-2,4.684957581E0,8.670569458E0,9.855783443E0
2.709481667E0,9.909393311E-2,4.681514740E0,8.659193115E0,9.844187385E0
2.719479667E0,1.077758789E-1,4.680017853E0,8.660540314E0,9.844751966E0
2.729478667E0,9.984237671E-2,4.688699799E0,8.660989380E0,9.849193436E0
2.739476667E0,9.490264893E-2,4.680167542E0,8.671168213E0,9.854041450E0
2.749474667E0,1.068777466E-1,4.686155090E0,8.658744049E0,9.846081499E0
2.759473667E0,9.041198730E-2,4.686903534E0,8.664731598E0,9.851538597E0
2.769471667E0,9.774673462E-2,4.681814117E0,8.652008057E0,9.837996812E0
2.779470417E0,1.059796143E-1,4.688849487E0,8.659791870E0,9.848275810E0
2.789470417E0,1.019380188E-1,4.689448242E0,8.661737823E0,9.850229353E0
2.799469417E0,1.073268127E-1,4.688999176E0,8.664282532E0,9.852310597E0
2.809468417E0,1.080752563E-1,4.683909760E0,8.671018524E0,9.855823311E0
2.819467417E0,1.065783691E-1,4.679568787E0,8.667875061E0,9.850978685E0
2.829465417E0,1.011895752E-1,4.683760071E0,8.660989380E0,9.846856593E0
2.839464417E0,1.070274353E-1,4.689747620E0,8.658444672E0,9.847530236E0
2.849463417E0,1.074765015E-1,4.688849487E0,8.665330353E0,9.853162479E0
2.859462417E0,9.939331055E-2,4.680466919E0,8.657546539E0,9.842243732E0
2.869461417E0,1.038839722E-1,4.678820343E0,8.659642181E0,9.843350771E0
2.879460417E0,1.044827271E-1,4.677024078E0,8.662935333E0,9.845400929E0
2.889459417E0,1.004411316E-1,4.680017853E0,8.659043427E0,9.843357587E0
2.899458417E0,1.019380188E-1,4.692891083E0,8.662486267E0,9.852526904E0
2.909457417E0,1.044827271E-1,4.684957581E0,8.668623505E0,9.854175645E0
2.919456417E0,1.011895752E-1,4.684209137E0,8.669072571E0,9.854180524E0
2.929455417E0,9.864486694E-2,4.677622833E0,8.658145294E0,9.841410779E0
2.939454417E0,1.062789917E-1,4.681215363E0,8.653355255E0,9.838985195E0
2.949453417E0,1.031355286E-1,4.688101044E0,8.663683777E0,9.851311837E0
2.959452417E0,1.056802368E-1,4.691992950E0,8.656798096E0,9.847137626E0
2.969452417E0,1.088237000E-1,4.687202911E0,8.667276306E0,9.854105352E0
2.979450417E0,1.046324158E-1,4.686753845E0,8.663683777E0,9.850686582E0
2.989449417E0,1.025367737E-1,4.683460693E0,8.663833466E0,9.849229827E0
2.999448417E0,1.058299255E-1,4.697082367E0,8.654552765E0,9.847591903E0
3.009446417E0,9.295669556E-2,4.686304779E0,8.664282532E0,9.850882459E0
3.019445417E0,1.008901978E-1,4.693340149E0,8.659193115E0,9.849834821E0
3.029443417E0,1.067280579E-1,4.691244507E0,8.659941559E0,9.849556016E0
3.039441417E0,1.073268127E-1,4.686903534E0,8.656798096E0,9.844731436E0
3.049440417E0,1.002914429E-1,4.692891083E0,8.655899963E0,9.846719721E0
3.059438417E0,1.034349060E-1,4.683909760E0,8.659043427E0,9.845239585E0
3.069436417E0,1.106199646E-1,4.691843262E0,8.659791870E0,9.849752545E0
3.079434417E0,1.038839722E-1,4.693489838E0,8.668024750E0,9.857702156E0
3.089433417E0,9.684860229E-2,4.689747620E0,8.663085022E0,9.851505189E0
3.099432417E0,1.028361511E-1,4.685406647E0,8.664881287E0,9.851080064E0
3.109430417E0,1.038839722E-1,4.685855713E0,8.663384399E0,9.849988066E0
3.119429417E0,1.086740112E-1,4.684807892E0,8.664581909E0,9.850594636E0
3.129428417E0,1.079255676E-1,4.689897308E0,8.662336578E0,9.851033432E0
3.139427417E0,1.010398865E-1,4.686155090E0,8.665629730E0,9.852075782E0
3.149426417E0,9.774673462E-2,4.683460693E0,8.653954010E0,9.840491781E0
3.159425417E0,9.954299927E-2,4.681664429E0,8.649762726E0,9.835968984E0
3.169423417E0,9.774673462E-2,4.693789215E0,8.665030975E0,9.855149589E0
3.179421417E0,9.565109253E-2,4.688400421E0,8.658594360E0,9.846903266E0
3.189420417E0,1.076261902E-1,4.691244507E0,8.657396851E0,9.847328503E0
3.199419417E0,1.035845947E-1,4.686304779E0,8.654852142E0,9.842695152E0
3.209417417E0,9.684860229E-2,4.680616608E0,8.657396851E0,9.842157879E0
3.219415417E0,1.029858398E-1,4.679419098E0,8.670120392E0,9.852845111E0
3.229414417E0,1.097218323E-1,4.680317230E0,8.659642181E0,9.844125709E0
3.239412417E0,1.035845947E-1,4.686903534E0,8.666527863E0,9.853248180E0
3.249410417E0,9.984237671E-2,4.691394196E0,8.665480042E0,9.854425014E0
3.259409417E0,1.050814819E-1,4.687801666E0,8.665330353E0,9.852638058E0
3.269407417E0,1.034349060E-1,4.687352600E0,8.648714905E0,9.837796638E0
3.279406417E0,1.008901978E-1,4.686753845E0,8.658893738E0,9.846434949E0
3.289404417E0,1.118174744E-1,4.684209137E0,8.661139069E0,9.847316810E0
